place_all, race_no, first, last, age, nation, club, time, medal, category
5983 / 5189 / 83,14398,Dieter, Gloeck,60,RSA,Magnolia Road Runners,10:18:03,Bronze,M GM
5985 / 5191 / 2035,55981,Louis, Begemann,43,RSA,MAGNOLIA ROAD RUNNERS,10:18:04,Bronze,M VET
5986 / 5192 / 2036,29675,Mzilela, Mhlari,43,RSA,Foskor Athletics Club,10:18:05,Bronze,M VET
5987 / 5193 / 2452,57962,Anthony,William  Meintjies,38,RSA,Brotherhood Athletic Club,10:18:06,Bronze,M SEN
5988 / 5194 / 2037,46236,Willem, Britz,47,RSA,Arcelor Mittal Athletic Club  - Vaal Triangle,10:18:06,Bronze,M VET
5989 / 5195 / 2038,45051,Jeffrey, Mokwena,47,RSA,Eskom Athletic Club - MPU,10:18:06,Bronze,M VET
5990 / 5196 / 2453,34464,Tumelo, Magano,34,RSA,Born 2 Run Athletic Club - CG,10:18:09,Bronze,M SEN
5991 / 5197 / 2454,58708,Ntuthuko, Zulu,31,RSA,Eskom Athletic Club - CGA,10:18:11,Bronze,M SEN
5992 / 5198 / 2455,34000,Masixole, Mzothana,32,RSA,RCS Gugulethu Athletic Club,10:18:12,Bronze,M SEN
5993 / 5199 / 2456,32572,Gugushe, Sazi,39,RSA,Department of Public Works Athletic Club,10:18:12,Bronze,M SEN
5994 / 5200 / 2457,34404,Manthaudi, Motsepe,25,RSA,RCS Gugulethu Athletic Club,10:18:12,Bronze,M SEN
5995 / 5201 / 84,1310,John, Ward,60,RSA,Irene Athletics Club,10:18:15,Bronze,M GM
5996 / 5202 / 2039,57332,Wellington, Mpofu,44,RSA,Adventists Athletics Club,10:18:18,Bronze,M VET
5997 / 5203 / 2040,34987,Sydney, Khanyile,48,RSA,KZN Striders,10:18:21,Bronze,M VET
5998 / 5204 / 622,37916,Hendrik, Cloete,50,RSA,Upington Crusaders Multi Sports Club,10:18:22,Bronze,M MAS
5999 / 5205 / 2041,21297,Gary, Pienaar,41,RSA,Greenstone Hill Running Club,10:18:23,Bronze,M VET
